title,url,category
Israel-Gaza War,/news/topics/c2vdnvdg6xxt,topics
War in Ukraine,/news/war-in-ukraine,unknown
US & Canada,/news/us-canada,unknown
UK,/news/uk,uk
Africa,/news/world/africa,world
Asia,/news/world/asia,world
Australia,/news/world/australia,world
Europe,/news/world/europe,world
Latin America,/news/world/latin_america,world
Middle East,/news/world/middle_east,world
In Pictures,/news/in_pictures,in_pictures
BBC InDepth,/news/bbcindepth,bbcindepth
BBC Verify,/news/bbcverify,bbcverify
"Two dead as Mexican Navy ship crashes into Brooklyn Bridge

At least 19 people are injured after the towering masts of training sailboat clip New York City's famous bridge.

3 hrs ago
US & Canada",/news/articles/c991n8p4pdyo,articles
"Four days that took India and Pakistan to the brink

The BBC visits families in Kashmir devastated by the deadliest clashes in years, and speaks to military insiders.

8 hrs ago
Asia",/news/articles/cvgvr4r5d2qo,articles
Fatal blast near Palm Springs fertility clinic 'act of terrorism' - FBIOne person was killed and four injured in Saturday's explosion outside the American Reproductive Centers.7 hrs agoUS & Canada,/news/articles/cyvme1e8gd5o,articles
"LIVE
Pope Leo seen in popemobile ahead of inauguration Mass

World and religious leaders are gathering at the Vatican for the official start of Leo's papacy.",https://www.bbc.com/news/live/c3e51q0xxp1t,live
"The poison paradox: How Australia's deadliest animals save lives

The public antivenom programme saving lives in a place where, the joke goes, everything wants to kill you.

1 day ago
Australia",/news/articles/c0lnp3ny4wro,articles
"'You start to go crazy': The Australian who survived five years in a Chinese prison

Matthew Radalj tells the BBC of his time in a Beijing prison, revealing what goes on behind bars.

9 hrs ago
World",/news/articles/c629664xp57o,articles
"India's forgotten actor who lost her legacy to caste oppression

PK Rosy, the first actress in Malayalam cinema, was hounded out of her home after playing the role of an upper caste woman.

7 hrs ago
Asia",/news/articles/c30q1rvqn17o,articles
"Hamas proposes releasing some hostages in fresh talks after new Israel offensive

A new round of talks has taken place in Doha after Israel carried out airstrikes which killed hundreds.

10 hrs ago
Middle East",/news/articles/cd7geg3lvz1o,articles
"Of opium, fire temples, and sarees: A peek into the world of India's dwindling Parsis
1 day ago
Asia",/news/articles/cvgv445jqr1o,articles
"Will Romania vote take country away from European mainstream?
1 hr ago
Europe",/news/articles/cr7z2p743x4o,articles
"Eurovision 2025: Austria wins with last-minute vote, as the UK comes 19th
8 hrs ago
Culture",/news/articles/c15nq75274qo,articles
"Trump says he will call Putin to discuss stopping Ukraine 'bloodbath'
13 hrs ago
World",/news/articles/c70nwr7zg7lo,articles
"Brits can be extradited over Tokyo jewellery heist
1 day ago
London",/news/articles/c3e51lje58jo,articles
"The best photos from Eurovision Song Contest 2025

The night saw wacky songs, fabulous outfits and high-tempo dancing.

8 hrs ago
Culture",/news/articles/ceqgjpl84pvo,articles
"Inside the therapy room: BBC watches as three lives change

The BBC has been given access to talking therapy sessions. What it reveals is striking - how managing the mind can transform lives.

8 hrs ago
Health",/news/articles/cg5vyv6dnmgo,articles
Back garden's wildlife beauty captured over decadeAndrew Fusek Peters has spent a decade capturing the images in a celebration of Britain's wildife.8 hrs agoShropshire,/news/articles/c80kve8kr4no,articles
"It's one of the most rowdy US sporting events. Here's what Preakness says about the economy

The Maryland tradition attracts a mix of socioeconomic classes. But this year, the tradition has been thrown into question.

7 hrs ago
US & Canada",/news/articles/c2lk0zq7kg5o,articles
"Two dead in Swiss mountain avalanche

The police say that eight people were in the area on a ski tour and all but one were swept away.

10 hrs ago
Europe",/news/articles/c8d14yyverro,articles
"Elton brands UK government 'losers' over AI copyright plans

The musician accuses the government of robbing young artists over its copyright law plans.

2 hrs ago",/news/articles/c8jg0348yvxo,articles
Second man arrested over fires at homes linked to UK PM StarmerThe 26-year-old was arrested on suspicion of conspiracy to commit arson with intend to endanger life.15 hrs agoLondon,/news/articles/c3e540k8xepo,articles
"Was Diddy a 'mastermind'? How ex Cassie's testimony builds the sex trafficking case against him

The mogul’s ex-girlfriend feared saying no to his sexual fantasies. His defence argues they were consensual.

1 day ago
Culture",/news/articles/cvgvdr3gwneo,articles
"US loses last perfect credit rating amid rising debt

Moody's said successive US administrations had failed to reverse ballooning deficits and interest costs.

1 day ago
US & Canada",/news/articles/c4ge0xk4ld1o,articles
"Five killed after helicopters collide in Finland

Police have not confirmed the number of deaths but said there were five people on board in total.

13 hrs ago
Europe",/news/articles/cq54zyjwl4no,articles
"1
Aftermath of Brooklyn Bridge ship crash",/news/videos/cp85lx1zxe0o,videos
"2
'He's one of us' - Catholic Americans react to first US-born pope",/news/videos/c0r1w0wxpz9o,videos
"3
How Diddy's lawyers used 'freak off' texts against Cassie",/news/videos/c2d54g6rkkyo,videos
"4
Ros Atkins on... how world leaders are responding to Israel's blockade of Gaza",/news/videos/c20x1w9xq4po,videos
"5
Watch: 'It took me almost 1,000 hours to draw London'",/news/videos/c7876w8e751o,videos
"6
'I was refused service in a cafe because of my face'",/news/articles/cy4k8l5y5j1o,articles
"8
Eurovision: 'What the Hell Just Happened' to the UK entry?",/news/articles/crk2nrkv830o,articles
